t,pose_x,pose_y,pose_deg,v,w,cur_v,waypoints_left,path_len_left_m,carrot_x,carrot_y,carrot_dist,min_lidar_ahead,nearest_aux,nearest_poison,stall
111.30,1.703,-0.465,69.1,0.000,-2.200,0.000,28,1.30,nan,nan,-1.000,0.601,0.342,inf,1
111.55,1.703,-0.465,44.5,0.000,-2.200,0.000,28,1.30,nan,nan,-1.000,0.607,0.342,inf,1
111.81,1.703,-0.465,19.8,0.000,-2.200,0.000,28,1.30,nan,nan,-1.000,0.213,0.342,inf,1
112.06,1.703,-0.465,-6.3,0.000,-1.447,0.000,28,1.30,nan,nan,-1.000,0.200,0.342,inf,1
112.32,1.703,-0.465,-21.3,0.000,-0.884,0.000,28,1.33,nan,nan,-1.000,0.310,0.342,inf,1
112.58,1.703,-0.465,-28.4,0.000,-0.733,0.000,28,1.33,1.763,-0.705,0.246,0.303,0.353,inf,1
112.83,1.703,-0.465,-35.4,0.000,-0.550,0.000,28,1.33,1.763,-0.705,0.246,0.306,0.353,inf,1
113.09,1.703,-0.465,-41.4,0.000,-0.550,0.000,28,1.33,1.763,-0.705,0.246,0.211,0.353,inf,1
113.34,1.703,-0.465,-48.9,0.000,-0.550,0.000,28,1.42,1.702,-0.652,0.187,0.303,0.353,inf,1
113.60,1.703,-0.465,-54.9,0.000,-0.550,0.000,28,1.42,1.702,-0.652,0.187,0.306,0.353,inf,1
113.86,1.711,-0.479,-62.5,0.084,-0.550,0.105,28,1.42,1.735,-0.685,0.207,0.289,0.356,inf,0
114.11,1.722,-0.504,-69.3,0.126,-0.550,0.105,28,1.42,1.742,-0.692,0.189,0.276,0.337,inf,0
114.37,1.730,-0.528,-74.6,0.092,-0.367,0.063,28,1.49,1.763,-0.803,0.277,0.255,0.318,inf,0
114.62,1.736,-0.554,-78.6,0.126,-0.367,0.126,28,1.49,1.763,-0.854,0.301,0.233,0.298,inf,0
114.88,1.741,-0.586,-81.6,0.126,-0.183,0.126,28,1.49,1.779,-0.879,0.296,0.498,0.274,inf,0
115.14,1.746,-0.618,-81.0,0.126,0.000,0.126,28,1.49,1.802,-0.902,0.289,0.470,0.251,inf,0
115.39,1.749,-0.638,-71.9,0.000,2.200,0.000,23,1.36,nan,nan,-1.000,0.470,0.238,inf,1
115.65,1.749,-0.638,-50.9,0.000,1.420,0.000,23,1.36,nan,nan,-1.000,0.564,0.238,inf,1
