idx,x,y
0,1.709,-0.516
1,1.740,-0.666
2,1.781,-0.815
3,1.869,-0.937
4,2.009,-1.000
5,2.165,-1.003
6,2.308,-0.954
7,2.433,-0.869
8,2.532,-0.755
9,2.600,-0.614
10,2.630,-0.466
11,2.639,-0.315
12,2.650,-0.163
13,2.662,-0.012
14,2.678,0.142
15,2.694,0.293
16,2.711,0.447
17,2.726,0.596
18,2.723,0.749
19,2.703,0.901
20,2.699,1.054
21,2.727,1.204
22,2.727,1.355
23,2.645,1.484
24,2.511,1.559
25,2.364,1.594
26,2.214,1.613
27,2.062,1.624
28,1.911,1.634
29,1.759,1.642
30,1.608,1.635
31,1.458,1.592
32,1.335,1.499
33,1.292,1.354
34,1.328,1.206
35,1.439,1.096
36,1.582,1.043
37,1.724,0.993
38,1.856,0.913
39,1.955,0.798
40,1.990,0.651
41,1.969,0.496
42,1.894,0.365
43,1.979,0.492
44,2.029,0.635
45,2.013,0.789
46,1.921,0.910
47,1.783,0.980
48,1.634,1.006
49,1.483,1.024
50,1.332,1.042
51,1.182,1.060
52,1.031,1.077
53,0.879,1.083
54,0.728,1.082
55,0.577,1.067
56,0.423,1.034
57,0.285,0.968
58,0.171,0.863
59,0.100,0.725
60,0.074,0.577
61,0.066,0.421
62,0.071,0.269
63,0.075,0.118
64,0.071,-0.034
65,0.065,-0.186
66,0.057,-0.337
67,0.047,-0.489
68,0.033,-0.640
69,0.020,-0.791
70,0.006,-0.942
71,-0.009,-1.098
72,-0.046,-1.247
73,-0.132,-1.376
74,-0.270,-1.448
75,-0.412,-1.399
76,-0.514,-1.289
77,-0.638,-1.196
78,-0.545,-1.324
79,-0.420,-1.415
80,-0.288,-1.494
81,-0.171,-1.594
82,-0.097,-1.728
83,-0.063,-1.877
84,-0.024,-2.025
85,0.046,-2.162
86,0.153,-2.268
87,0.297,-2.322
88,0.452,-2.297
89,0.582,-2.215
90,0.674,-2.095
91,0.733,-1.950
92,0.794,-1.810
93,0.824,-1.662
94,0.789,-1.814
95,0.739,-1.960
96,0.675,-2.101
97,0.579,-2.222
98,0.449,-2.299
99,0.303,-2.336
100,0.164,-2.277
101,0.079,-2.153
102,0.031,-2.003
103,-0.003,-1.849
104,-0.030,-1.693
105,-0.045,-1.536
106,-0.053,-1.379
107,-0.054,-1.221
108,-0.046,-1.070
109,-0.031,-0.918
110,-0.009,-0.763
111,0.013,-0.606
112,0.033,-0.453
113,0.054,-0.298
114,0.049,-0.143
115,-0.000,-0.000
