step,sim_time_s,cmd,x_m,y_m,yaw_fused,yaw_imu,left_enc,right_enc,ds,dtheta_enc
1,0.032,STOP,0.0,0.0,0.0,0.0,-11.560902634262135,11.560903367532088,0.0,0.0
2,0.064,STOP,-6.397601559626772e-12,1.1274697999471498e-20,-1.762332007454564e-09,-7.243166244563781e-08,-11.560902640441535,11.560903373413925,-6.397601559626772e-12,1.957106436660344e-09
3,0.096,STOP,-1.3604675608291925e-11,5.977493161509157e-20,-6.729531747298054e-09,-1.3116034969229418e-07,-11.560902645483264,11.560903378120441,-7.207074048665153e-12,1.5817906783142013e-09
4,0.128,STOP,-1.970147955887569e-11,1.4588527712566536e-19,-1.4123850169452928e-08,-1.7872422253262243e-07,-11.560902649534906,11.560903381888512,-6.096803950583765e-12,1.268859070643524e-09
5,0.16,STOP,-2.4689922994980405e-11,2.621861853184079e-19,-2.3314067741250663e-08,-2.172382465026601e-07,-11.560902652782595,11.56090338490418,-4.988443436104715e-12,1.0163181524869699e-09
6,0.192,STOP,-2.8730410939203914e-11,3.9874003883965817e-19,-3.379637692434515e-08,-2.4841949342047087e-07,-11.56090265538372,11.560903387317374,-4.040487944223512e-12,8.136443167015968e-10
7,0.224,STOP,-3.198896258993499e-11,5.459317792383045e-19,-4.517090909564772e-08,-2.736609978626347e-07,-11.560902657466295,11.56090338924839,-3.2585516507310784e-12,6.512619743283344e-10
8,0.256,STOP,-3.461124098436128e-11,6.957210256109596e-19,-5.7121794044078226e-08,-2.9409227098042834e-07,-11.560902659133442,11.56090339079357,-2.6222783944262986e-12,5.212454166405463e-10
9,0.28800000000000003,STOP,-3.671888659795283e-11,8.419933707337167e-19,-6.940082534724615e-08,-3.106287502774308e-07,-11.560902660467939,11.560903392030037,-2.1076456135915574e-12,4.1717527210494147e-10
10,0.32,STOP,-3.841157969475258e-11,9.804796977663823e-19,-8.181419732525109e-08,-3.24012110031191e-07,-11.56090266153614,11.560903393019508,-1.6926930967997577e-12,3.3388658546557975e-10
11,0.352,STOP,-3.9770324811172446e-11,1.1084894771599835e-18,-9.421176778974718e-08,-3.348430781535683e-07,-11.560902662391197,11.560903393811367,-1.3587451164198664e-12,2.672353441260744e-10
12,0.384,STOP,-4.0860658856445255e-11,1.2245864806091205e-18,-1.0647838059581879e-07,-3.4360811618228126e-07,-11.560902663075662,11.56090339444512,-1.0903340452728116e-12,2.1389959321591303e-10
13,0.41600000000000004,STOP,-4.17353627213401e-11,1.3282623804852497e-18,-1.1852685695928874e-07,-3.507010886139028e-07,-11.560902663623601,11.560903394952375,-8.747038648948544e-13,1.712200394044799e-10
14,0.448,STOP,-4.243698192851747e-11,1.4196779900811958e-18,-1.302923418583608e-07,-3.564408421752318e-07,-11.560902664062278,11.560903395358418,-7.016192071773726e-13,1.370677491843038e-10
15,0.48,STOP,-4.299969802445951e-11,1.4994304741735316e-18,-1.4172774631374504e-07,-3.6108547085689224e-07,-11.560902664413513,11.56090339568348,-5.627160959420515e-13,1.0973894162353248e-10
16,0.512,STOP,-4.345089443802401e-11,1.5683733206931297e-18,-1.5280007652308647e-07,-3.648438742231974e-07,-11.560902664694767,11.560903395943749,-4.511964135645034e-13,8.786966961177416e-11
17,0.544,STOP,-4.381268414732623e-11,1.6275214081799218e-18,-1.6348747895806414e-07,-3.6788511881269415e-07,-11.560902664920013,11.560903396152167,-3.6178970930222926e-13,7.036808368703309e-11
18,0.5760000000000001,STOP,-4.4102826279868086e-11,1.6779413977215764e-18,-1.737768627394386e-07,-3.703460320636509e-07,-11.560902665100434,11.560903396319093,-2.9014213254185986e-13,5.636197253146369e-11
19,0.608,STOP,-4.4335451754307e-11,1.720665855752274e-18,-1.8366199202278677e-07,-3.7233734317965167e-07,-11.560902665244976,11.560903396452815,-2.326254744389189e-13,4.515235648684536e-11
20,0.64,STOP,-4.452194168891301e-11,1.756684886057952e-18,-1.9314195364899086e-07,-3.7394865648465725e-07,-11.5609026653608,11.560903396559965,-1.8648993460601564e-13,3.618062830467025e-11
21,0.672,STOP,-4.4671385701633334e-11,1.786905443944943e-18,-2.022199306408304e-07,-3.752524828648518e-07,-11.560902665453634,11.560903396645848,-1.4944401272032338e-13,2.8999441003677174e-11
22,0.704,STOP,-4.4791269360189197e-11,1.8121891738422794e-18,-2.1090222138620163e-07,-3.7630749982753287e-07,-11.560902665528065,11.560903396714703,-1.1988365855586388e-13,2.3250225225174804e-11
23,0.736,STOP,-4.4887321415387664e-11,1.8332435397757743e-18,-2.1919745381804364e-07,-3.7716118583830394e-07,-11.560902665587761,11.560903396769932,-9.605205519847023e-14,1.8648200803257182e-11
24,0.768,STOP,-4.4964315826234624e-11,1.8507301996798624e-18,-2.2711596480483687e-07,-3.77851960831066e-07,-11.560902665635657,11.560903396814247,-7.699441084696434e-14,1.4962488271435777e-11
25,0.8,STOP,-4.502607175993479e-11,1.865222421477239e-18,-2.346693010543339e-07,-3.7841091371504376e-07,-11.560902665674107,11.560903396849824,-6.175593370016936e-14,1.2011785277124699e-11
26,0.8320000000000001,STOP,-4.5075568166907834e-11,1.8771941090455697e-18,-2.418698305687071e-07,-3.788632021439753e-07,-11.560902665704987,11.560903396878402,-4.9496406973048536e-14,9.647936956684613e-12
27,0.864,STOP,-4.511521112249273e-11,1.8870545184942396e-18,-2.4873043150261745e-07,-3.792291791704372e-07,-11.560902665729802,11.560903396901374,-3.96429555848954e-14,7.754206501216822e-12
28,0.896,STOP,-4.514698659363592e-11,1.895165660309697e-18,-2.5526425017919367e-07,-3.7952531739549045e-07,-11.560902665749762,11.560903396919855,-3.177547114319169e-14,6.237492702636683e-12
29,0.928,STOP,-4.5172498630563385e-11,1.9018366629072165e-18,-2.614845147992712e-07,-3.797649439363227e-07,-11.560902665765827,11.560903396934734,-2.5512036927466438e-14,5.021123977815666e-12
30,0.96,STOP,-4.5192931175108584e-11,1.9073004149552292e-18,-2.674043869536603e-07,-3.799588430553058e-07,-11.560902665778771,11.560903396946728,-2.0432544545201377e-14,4.046587802787263e-12
31,0.992,STOP,-4.520927721074475e-11,1.911763485089912e-18,-2.7303685334011934e-07,-3.801157419935919e-07,-11.56090266578921,11.560903396956407,-1.63460356361611e-14,3.264595302683136e-12
32,1.024,STOP,-4.52223769542569e-11,1.9154103834746884e-18,-2.783946404287977e-07,-3.8024269999326066e-07,-11.560902665797641,11.560903396964228,-1.3099743512157143e-14,2.6370989249733367e-12
33,1.056,STOP,-4.523280328072576e-11,1.9183661443526307e-18,-2.834901522382008e-07,-3.803454085016256e-07,-11.560902665804457,11.56090339697056,-1.0426326468859774e-14,2.133257092985863e-12
34,1.088,STOP,-4.524116725690408e-11,1.920777775003552e-18,-2.883354279718936e-07,-3.8042852068542743e-07,-11.56090266580998,11.560903396975693,-8.363976178316068e-15,1.729145966872341e-12
35,1.12,STOP,-4.524788899118437e-11,1.9227468540353588e-18,-2.92942111320952e-07,-3.804957766639916e-07,-11.560902665814464,11.560903396979864,-6.721734280290546e-15,1.404300575196207e-12
